  I     	  II     	  AO     	  AO'		  AO     	  AO'		
-25.94   	 28.38   	 99.39   	 330.62		 84.84   	 284.84		
-30.21   	 24.41   	100.71   	 320.45		 85.98   	 295.01		
-29.30   	 23.80   	101.99   	 310.27		 87.16   	 305.19		
-32.65   	 16.48   	103.23   	 289.93		 88.38   	 315.36		
-34.48   	 14.34   	104.39   	 274.67		 89.64   	 315.36		
-32.04   	 15.56   	105.49   	 259.41		 90.91   	 325.53		
-34.18   	 15.26   	106.53   	 249.24		 92.21   	 325.53		
-35.40   	 15.87   	107.53   	 244.15		 93.51   	 335.71		
-38.76   	 13.73   	108.50   	 249.24		 94.85   	 330.62		
-39.67   	 10.68   	109.50   	 259.41		 96.17   	 340.79		
-39.98   	  5.19   	110.54   	 274.67		 97.54   	 340.79		
-50.35   	  0.00   	111.64   	 284.84		 98.90   	 340.79		
-46.08   	  1.83   	112.78   	 300.10		100.26   	 340.79		
-49.74   	 -2.75   	113.98   	 300.10		101.63   	 340.79		
-58.29   	-10.07   	115.18   	 300.10		102.99   	 340.79		
-51.88   	-11.29   	116.38   	 295.01		104.35   	 335.71		
-59.81   	-21.36   	117.56   	 289.93		105.70   	 335.71		
-65.61   	-25.63   	118.72   	 274.67		107.04   	 330.62		
-68.05   	-21.97   	119.82   	 264.50		108.36   	 330.62		
-75.68   	-22.58   	120.87   	 249.24		109.68   	 320.45		
-82.40   	-21.97   	121.87   	 239.06		110.97   	 315.36		
-86.98   	-21.06   	122.83   	 218.72		112.23   	 310.27		
-91.55   	-23.80   	123.70   	 213.63		113.47   	 305.19		
-91.55   	-29.30   	124.56   	 203.46		114.69   	 300.10		
-87.89   	-30.21   	125.37   	 193.29		115.89   	 295.01		
-89.11   	-23.80   	126.14   	 188.20		117.07   	 284.84		
-86.06   	-16.17   	126.90   	 188.20		118.21   	 279.75		
-81.18   	 -3.36   	127.65   	 178.03		119.33   	 274.67		
-81.79   	 11.60   	128.36   	 178.03		120.43   	 269.58		
-78.74   	 22.58   	129.07   	 172.94		121.51   	 259.41		
-70.19   	 36.93   	129.77   	 167.85		122.54   	 249.24		
-71.41   	 48.52   	130.44   	 152.59		123.54   	 249.24		
-63.48   	 60.12   	131.05   	 137.33		124.54   	 233.98		
-50.35   	 73.24   	131.60   	 111.90		125.47   	 228.89		
-38.45   	 80.26   	132.04   	  91.56		126.39   	 218.72		
-31.43   	 93.08   	132.41   	  66.12		127.26   	 208.54		
-20.45   	104.37   	132.67   	  35.61		128.10   	 203.46		
-15.56   	110.78   	132.82   	  20.35		128.91   	 188.20		
