  I     	  II     	  LVp     	  LVp'		
 48.83   	 79.96   	115.24   	 198.37		
 47.30   	 77.51   	116.03   	 188.20		
 48.22   	 77.51   	116.78   	 178.03		
 51.27   	 79.35   	117.50   	 157.68		
 54.02   	 80.57   	118.13   	 147.51		
 54.63   	 79.65   	118.72   	 132.25		
 52.80   	 75.68   	119.25   	 116.99		
 49.13   	 69.58   	119.71   	 101.73		
 45.47   	 62.56   	120.12   	  86.47		
 43.03   	 56.46   	120.47   	  76.30		
 41.81   	 50.96   	120.77   	  55.95		
 39.37   	 45.47   	121.00   	  40.69		
 34.18   	 38.76   	121.16   	  25.43		
 25.94   	 30.21   	121.26   	  10.17		
 15.87   	 19.53   	121.30   	 -10.17		
  6.10   	  7.93   	121.26   	 -25.43		
 -1.22   	 -1.83   	121.16   	 -50.86		
 -4.88   	 -8.24   	120.96   	 -66.12		
 -5.80   	-10.99   	120.69   	 -91.56		
 -6.71   	-12.21   	120.33   	-111.90		
 -9.46   	-14.65   	119.88   	-137.33		
-14.34   	-19.23   	119.33   	-157.68		
-19.53   	-24.72   	118.70   	-188.20		
-23.19   	-28.69   	117.94   	-213.63		
-24.72   	-31.13   	117.09   	-233.98		
-25.02   	-32.65   	116.15   	-269.58		
-24.41   	-33.87   	115.08   	-295.01		
-22.89   	-34.18   	113.90   	-330.62		
-20.14   	-33.57   	112.57   	-371.31		
-17.09   	-31.74   	111.09   	-422.18		
-15.56   	-29.60   	109.40   	-467.95		
-17.70   	-27.77   	107.53   	-528.99		
-21.67   	-25.63   	105.41   	-590.03		
-24.41   	-20.45   	103.05   	-651.07		
-22.89   	 -9.77   	100.45   	-712.10		
-17.09   	  6.41   	 97.60   	-768.05		
 -9.77   	 26.25   	 94.53   	-818.92		
 -4.27   	 45.78   	 91.25   	-859.61		
 -2.44   	 60.42   	 87.81   	-890.13		
