  I     	  II     	  LVp     	  LVp'		  FA     	  FA'		
-22.89   	-118.10   	 15.93   	  15.26		103.40   	-116.99		
-23.50   	-117.80   	 15.99   	  20.35		102.93   	-116.99		
-23.80   	-115.97   	 16.07   	  30.52		102.46   	-116.99		
-23.80   	-114.44   	 16.20   	  35.61		101.99   	-116.99		
-24.72   	-113.83   	 16.34   	  50.86		101.53   	-106.82		
-25.02   	-114.14   	 16.54   	  55.95		101.10   	-111.90		
-24.11   	-113.53   	 16.76   	  76.30		100.65   	-111.90		
-22.89   	-111.69   	 17.07   	  86.47		100.20   	-106.82		
-21.67   	-108.64   	 17.42   	 101.73		 99.78   	-106.82		
-21.36   	-104.98   	 17.82   	 122.07		 99.35   	-101.73		
-21.36   	-101.62   	 18.31   	 132.25		 98.94   	-101.73		
-21.67   	-99.18   	 18.84   	 152.59		 98.53   	-101.73		
-21.06   	-97.35   	 19.45   	 157.68		 98.13   	 -96.64		
-20.75   	-96.74   	 20.08   	 157.68		 97.74   	 -91.56		
-21.06   	-97.96   	 20.71   	 157.68		 97.37   	 -96.64		
-22.58   	-100.40   	 21.34   	 147.51		 96.99   	 -91.56		
-24.41   	-101.32   	 21.93   	 132.25		 96.62   	 -91.56		
-25.02   	-98.57   	 22.46   	 111.90		 96.26   	 -86.47		
-23.80   	-91.86   	 22.91   	 101.73		 95.91   	 -91.56		
-20.75   	-83.92   	 23.32   	  81.38		 95.54   	 -86.47		
-17.09   	-79.04   	 23.64   	  66.12		 95.20   	 -86.47		
-14.65   	-79.96   	 23.91   	  50.86		 94.85   	 -81.38		
-14.65   	-84.53   	 24.11   	  40.69		 94.53   	 -86.47		
-16.78   	-87.89   	 24.27   	  25.43		 94.18   	 -81.38		
-18.92   	-87.28   	 24.37   	  20.35		 93.86   	 -81.38		
-20.45   	-82.70   	 24.46   	  10.17		 93.53   	 -86.47		
-20.75   	-78.13   	 24.50   	  10.17		 93.18   	 -86.47		
-20.75   	-75.99   	 24.54   	   5.09		 92.84   	 -81.38		
-20.75   	-76.60   	 24.56   	   0.00		 92.51   	 -86.47		
-20.14   	-77.51   	 24.56   	 -10.17		 92.17   	 -91.56		
-19.53   	-76.90   	 24.52   	 -25.43		 91.80   	 -86.47		
-18.01   	-74.16   	 24.41   	 -40.69		 91.45   	 -91.56		
-16.78   	-70.19   	 24.25   	 -45.78		 91.09   	 -86.47		
-15.56   	-66.83   	 24.07   	 -55.95		 90.74   	 -91.56		
-14.34   	-64.39   	 23.85   	 -55.95		 90.38   	 -91.56		
-13.12   	-62.56   	 23.62   	 -61.04		 90.01   	 -86.47		
-13.43   	-61.65   	 23.38   	 -50.86		 89.66   	 -91.56		
-14.65   	-61.34   	 23.17   	 -45.78		 89.30   	 -91.56		
-16.17   	-61.34   	 22.99   	 -35.61		 88.93   	 -91.56		
-17.40   	-60.73   	 22.85   	 -30.52		 88.57   	 -91.56		
-17.09   	-59.51   	 22.73   	 -15.26		 88.20   	 -86.47		
-15.87   	-58.29   	 22.67   	 -10.17		 87.85   	 -91.56		
-14.34   	-57.37   	 22.62   	  -5.09		 87.49   	 -91.56		
-12.82   	-56.46   	 22.60   	   0.00		 87.12   	 -86.47		
-11.60   	-55.54   	 22.60   	   0.00		 86.77   	 -91.56		
-11.90   	-53.41   	 22.60(E)	  10.17		 86.41   	 -86.47		
-14.34   	-51.88   	 22.64   	  10.17		 86.06   	 -91.56		
-18.62   	-52.80   	 22.69   	  10.17		 85.70   	 -86.47		
-24.11   	-57.37   	 22.73   	  10.17		 85.35   	 -86.47		
-29.60   	-66.53   	 22.77   	  10.17		 85.00   	 -86.47		
-36.01   	-81.18   	 22.81   	  10.17		 84.66   	 -81.38		
-44.25   	-99.79   	 22.85   	   5.09		 84.33   	 -86.47		
-53.10   	-113.53   	 22.87   	  10.17		 83.99   	 -81.38		
-54.93   	-95.52   	 22.91   	  10.17		 83.66   	 -81.38		
-37.54   	 -3.66   	 22.95   	   5.09		 83.34   	 -81.38		
  9.77   	205.38   	 22.97   	   5.09		 83.01   	 -81.38		
