  I     	  II     	  AO     	  AO'		  FAC     	  FAC'		
 82.09   	189.82   	132.08   	 244.15		129.11   	 528.99		
 76.90   	192.87   	133.06   	 213.63		131.23   	-279.75		
 73.55   	196.53   	133.92   	 183.11		130.11   	-193.29		
 71.41   	196.84   	134.65   	 172.94		129.34   	 467.95		
 67.75   	190.73   	135.34   	 162.77		131.21   	 752.79		
 61.34   	178.53   	135.99   	 157.68		134.22   	 539.16		
 53.71   	165.10   	136.62   	 157.68		136.38   	 152.59		
 47.30   	151.98   	137.25   	 157.68		136.99   	-106.82		
 42.11   	137.63   	137.88   	 157.68		136.56   	 -81.38		
 35.10   	118.41   	138.51   	 142.42		136.24   	  81.38		
 21.67   	 91.86   	139.08   	 132.25		136.56   	 167.85		
  2.14   	 60.42   	139.61   	 111.90		137.23   	  81.38		
-18.31   	 30.21   	140.06   	  86.47		137.56   	  55.95		
-32.96   	  7.32   	140.41   	  66.12		137.78   	 193.29		
-39.06   	 -8.54   	140.67   	  35.61		138.55   	 147.51		
-40.28   	-20.75   	140.81(S)	   0.00		139.14   	 -30.52		
-42.42   	-32.96   	140.81   	 -20.35		139.02   	 -50.86		
-47.61   	-47.61   	140.73   	 -55.95		138.82   	  55.95		
-54.32   	-62.56   	140.51   	 -71.21		139.04   	 178.03		
-59.20   	-75.38   	140.22   	 -96.64		139.76   	 172.94		
-60.73   	-83.01   	139.84   	-101.73		140.45(S)	-147.51		
-59.20   	-86.06   	139.43   	-116.99		139.86   	-447.61		
-58.59   	-87.59   	138.96   	-122.07		138.07   	-432.35		
-60.42   	-89.72   	138.47   	-127.16		136.34   	-233.98		
-65.31   	-95.83   	137.96   	-137.33		135.40   	   0.00		
-71.11   	-104.68   	137.42   	-152.59		135.40   	  96.64		
-73.55   	-110.78   	136.81   	-162.77		135.79   	 -71.21		
-69.89   	-109.86   	136.15   	-188.20		135.50   	-386.57		
-60.42   	-101.32   	135.40   	-213.63		133.96   	-544.25		
-50.96   	-90.33   	134.55   	-249.24		131.78   	-467.95		
-47.91   	-83.92   	133.55   	-284.84		129.91   	-249.24		
-52.80   	-85.14   	132.41   	-320.45		128.91   	 -86.47		
-61.95   	-89.42   	131.13   	-356.05		128.57   	-127.16		
-68.05   	-90.03   	129.70   	-386.57		128.06   	-310.27		
-68.05   	-83.92   	128.16   	-412.00		126.82   	-498.47		
-64.70   	-74.77   	126.51   	-427.26		124.82   	-554.42		
-63.17   	-69.58   	124.80   	-437.43		122.60   	-467.95		
-65.61   	-71.72   	123.05   	-432.35		120.73   	-366.22		
-70.19   	-78.74   	121.32   	-417.09		119.27   	-345.88		
-73.85   	-84.84   	119.65   	-391.66		117.88   	-417.09		
-73.85   	-84.84   	118.09   	-376.40		116.22   	-518.82		
-70.80   	-80.26   	116.58   	-345.88		114.14   	-564.60		
-66.83   	-74.46   	115.20   	-320.45		111.88   	-559.51		
-62.56   	-69.89   	113.92   	-310.27		109.64   	-513.73		
-57.37   	-65.00   	112.68   	-289.93		107.59   	-493.39		
-50.35   	-57.68   	111.52   	-284.84		105.62   	-498.47		
-43.03   	-48.22   	110.38   	-279.75		103.62   	-498.47		
-38.76   	-40.59   	109.26   	-279.75		101.63   	-518.82		
-42.42   	-40.59   	108.14   	-279.75		 99.55   	-508.65		
-53.41   	-48.22   	107.02   	-279.75		 97.52   	-467.95		
-65.61   	-56.46   	105.90   	-284.84		 95.65   	-442.52		
-71.41   	-58.29   	104.76   	-279.75		 93.88   	-412.00		
-67.14   	-51.88   	103.64   	-279.75		 92.23   	-381.48		
-56.76   	-42.11   	102.52   	-269.58		 90.70   	-366.22		
-47.61   	-36.62   	101.44   	-254.32		 89.24   	-345.88		
-45.17   	-39.06   	100.43   	-244.15		 87.85   	-325.53		
-48.52   	-47.00   	 99.45   	-223.80		 86.55   	-305.19		
-52.80   	-54.02   	 98.56   	-208.54		 85.33   	-289.93		
-54.63   	-55.54   	 97.72   	-198.37		 84.17   	-279.75		
-54.32   	-51.57   	 96.93   	-178.03		 83.05   	-259.41		
-54.32   	-46.39   	 96.22   	-167.85		 82.01   	-239.06		
-54.63   	-42.72   	 95.54   	-157.68		 81.06   	-228.89		
-52.49   	-38.76   	 94.91   	-147.51		 80.14   	-239.06		
-46.08   	-32.96   	 94.32   	-142.42		 79.19   	-223.80		
-37.23   	-26.55   	 93.75   	-137.33		 78.29   	-213.63		
-31.43   	-24.11   	 93.20   	-132.25		 77.44   	-198.37		
-33.26   	-30.21   	 92.68   	-122.07		 76.64   	-193.29		
-41.50   	-43.03   	 92.19   	-122.07		 75.87   	-188.20		
-48.83   	-55.24   	 91.70   	-116.99		 75.12   	-178.03		
-49.44   	-59.81   	 91.23   	-111.90		 74.40   	-167.85		
-44.25   	-56.76   	 90.78   	-111.90		 73.73   	-152.59		
-38.15   	-52.19   	 90.34   	-106.82		 73.12   	-152.59		
-36.62   	-50.35   	 89.91   	-111.90		 72.51   	-142.42		
-39.06   	-51.88   	 89.46   	-106.82		 71.94   	-147.51		
-42.72   	-52.80   	 89.03   	-106.82		 71.35   	-132.25		
-44.86   	-51.57   	 88.61   	-106.82		 70.82   	-127.16		
-47.00   	-50.35   	 88.18   	-111.90		 70.32   	-116.99		
-50.05   	-51.88   	 87.73   	-106.82		 69.85   	-116.99		
-52.80   	-56.15   	 87.30   	-111.90		 69.38   	-106.82		
