  I     	  II     	  AO     	  AO'		  FA     	  FA'		
-42.11   	-64.70   	 96.42   	-101.73		 99.21   	 -45.78		
-43.03   	-65.92   	 96.01   	 -40.69		 99.02   	 -61.04		
-43.33   	-66.22   	 95.85   	  15.26		 98.78   	 -81.38		
-43.03   	-66.22   	 95.91   	  50.86		 98.45   	 -61.04		
-42.42   	-66.83   	 96.11   	  66.12		 98.21   	 -61.04		
-41.81   	-67.44   	 96.38   	  55.95		 97.97   	 -81.38		
-41.81   	-68.36   	 96.60   	  25.43		 97.64   	 -91.56		
-43.03   	-68.36   	 96.70   	 -35.61		 97.27   	 -91.56		
-45.17   	-68.05   	 96.56   	-106.82		 96.91   	 -96.64		
-47.00   	-67.44   	 96.13   	-167.85		 96.52   	-106.82		
-47.91   	-66.83   	 95.46   	-218.72		 96.09   	-111.90		
-47.00   	-66.83   	 94.59   	-249.24		 95.65   	-106.82		
-44.86   	-67.14   	 93.59   	-244.15		 95.22   	-101.73		
-43.33   	-67.75   	 92.61   	-223.80		 94.81   	 -96.64		
-42.42   	-68.36   	 91.72   	-188.20		 94.42   	-106.82		
-42.72   	-68.36   	 90.97   	-137.33		 94.00   	-106.82		
-43.03   	-68.05   	 90.42   	 -96.64		 93.57   	 -91.56		
-43.33   	-67.75   	 90.03   	 -71.21		 93.20   	 -91.56		
-43.64   	-67.44   	 89.75   	 -45.78		 92.84   	 -96.64		
-44.56   	-67.75   	 89.56   	 -15.26		 92.45   	-101.73		
-45.17   	-68.66   	 89.50   	  -5.09		 92.04   	 -86.47		
-45.47   	-68.97   	 89.48   	 -10.17		 91.70   	 -76.30		
-44.86   	-68.97   	 89.44   	 -10.17		 91.39   	 -91.56		
-43.64   	-68.36   	 89.40   	 -20.35		 91.03   	 -96.64		
-43.03   	-67.44   	 89.32   	 -45.78		 90.64   	 -86.47		
-42.72   	-66.53   	 89.13   	 -61.04		 90.29   	 -86.47		
-42.72   	-65.61   	 88.89   	 -81.38		 89.95   	 -81.38		
-42.42   	-65.00   	 88.57   	 -96.64		 89.62   	 -86.47		
-42.11   	-65.00   	 88.18   	-111.90		 89.28   	 -91.56		
-41.50   	-65.61   	 87.73   	-122.07		 88.91   	 -76.30		
-41.50   	-66.22   	 87.24   	-116.99		 88.61   	 -76.30		
-41.50   	-66.53   	 86.77   	-111.90		 88.30   	 -76.30		
